Name,id,lat,long
Ahonpää,1343,64.537118,25.006783
Ahvenus,1000,61.291923,22.498185
Ainola,628,60.456863,25.101494
Airaksela,869,62.724396,27.4295
Aittaluoto,676,61.476933,21.84537
Ajos,767,65.666123,24.519756
Alapitkä,415,63.200823,27.535426
Alavus,284,62.617769,23.600437
Alholma,308,63.706765,22.695265
Arola,939,64.450787,29.022513
Asola,1340,60.320974,25.047287
Aviapolis,1331,60.30435,24.956191
Dragsvik,167,59.990199,23.488607
Dynamiittivaihde,581,59.866408,23.084138
Eläinpuisto-Zoo,623,62.540979,24.190381
Eno,464,62.806375,30.141691
Ervelä,1004,60.203374,23.22228
Eskola,318,63.914902,24.151369
Espoo,66,60.205067,24.655992
Haapajärvi,330,63.754515,25.33434
Haapakoski,402,62.452365,27.175449
Haapamäen kyllästämä,1008,62.280833,24.406759
Haapamäki,200,62.246476,24.455067
Haaparanta,1408,65.828099,24.131104
Haarajoki,13,60.496261,25.13382
Hakosilta,1014,60.925032,25.513357
Haksi,1015,60.408207,25.554663
Hamina,527,60.55232,27.166505
Hammaslahti,451,62.430216,29.968366
Hanala,1018,60.339607,25.072363
Hangonsaari,1020,60.795884,21.344905
Hanhikoski,812,66.695831,27.219836
Hankasalmi,427,62.302807,26.478116
Hanko asema,73,59.826865,22.968291
Hanko tavara,1317,59.828617,22.981473
Hanko-Pohjoinen,879,59.830141,22.988361
Harjavalta,218,61.309689,22.133261
Harju,985,60.940616,26.677153
Harviala,622,60.95365,24.57693
Haukipudas,342,65.195636,25.407075
Haukivuori,549,62.025658,27.202606
Hausjärvi tavara,340,60.785411,25.014992
Haviseva,1021,61.550664,24.087374
Havukoski,1334,60.308402,25.051833
Heikkilä,1023,60.121966,24.480906
Heinola,113,61.20317,26.046963
Heinoo,1025,61.394254,22.971145
Heinävaara,924,62.55575,30.190207
Heinävesi,437,62.382542,28.643419
Helsinki asema,1,60.172097,24.941249
Helsinki Kivihaka,1028,60.209813,24.917191
Henna,1164,60.799132,25.494389
Herrala,96,60.896944,25.475624
Hiekkaharju,556,60.303081,25.049104
Hiirola,997,61.808118,27.315826
Hikiä,91,60.752588,24.919201
Hillosensalmi,988,61.193088,26.789163
Hinthaara,561,60.399764,25.477951
Hirvineva,1041,64.733984,25.227499
Humppila,144,60.919507,23.362536
Huopalahti,72,60.21835,24.893523
Huutokoski,430,62.210069,27.68887
Hyrkäs,1348,64.788806,26.22007
Hyrynsalmi,392,64.683757,28.462708
Hyvinkää,30,60.631294,24.857709
Hämeenlinna,47,61.002368,24.478851
Härmä,300,63.234321,22.876631
Häljäkkä,938,63.454874,29.44413
Ii,343,65.318819,25.441902
Iisalmen teollisuusraiteet,1049,63.545757,27.213924
Iisalmi,420,63.560099,27.201109
Iittala,154,61.090616,24.140789
Ilmala asema,9,60.208134,24.920636
Ilmala ratapiha,1030,60.21312,24.928154
Ilola,1345,61.229936,23.875154
Ilomantsi,459,62.666381,30.941562
Imatra asema,603,61.195914,28.776017
Imatra tavara,502,61.208116,28.812093
Imatrankoski,504,61.170432,28.788045
