from,to,departs,arrives
1,10,2019-07-30T03:57:00.000Z,2019-07-30T04:02:00.000Z
10,10,2019-07-30T04:02:00.000Z,2019-07-30T04:03:00.000Z
10,977,2019-07-30T04:03:00.000Z,2019-07-30T04:05:00.000Z
977,977,2019-07-30T04:05:00.000Z,2019-07-30T04:05:00.000Z
977,15,2019-07-30T04:05:00.000Z,2019-07-30T04:06:00.000Z
15,15,2019-07-30T04:06:00.000Z,2019-07-30T04:06:00.000Z
15,551,2019-07-30T04:06:00.000Z,2019-07-30T04:07:11.000Z
551,551,2019-07-30T04:07:11.000Z,2019-07-30T04:07:11.000Z
551,17,2019-07-30T04:07:11.000Z,2019-07-30T04:08:00.000Z
17,17,2019-07-30T04:08:00.000Z,2019-07-30T04:08:00.000Z
17,552,2019-07-30T04:08:00.000Z,2019-07-30T04:09:22.000Z
552,552,2019-07-30T04:09:22.000Z,2019-07-30T04:09:22.000Z
552,553,2019-07-30T04:09:22.000Z,2019-07-30T04:10:31.000Z
553,553,2019-07-30T04:10:31.000Z,2019-07-30T04:10:31.000Z
553,18,2019-07-30T04:10:31.000Z,2019-07-30T04:12:00.000Z
18,18,2019-07-30T04:12:00.000Z,2019-07-30T04:13:00.000Z
18,556,2019-07-30T04:13:00.000Z,2019-07-30T04:13:40.000Z
556,556,2019-07-30T04:13:40.000Z,2019-07-30T04:13:40.000Z
556,1334,2019-07-30T04:13:40.000Z,2019-07-30T04:14:00.000Z
1334,1334,2019-07-30T04:14:00.000Z,2019-07-30T04:14:00.000Z
1334,559,2019-07-30T04:14:00.000Z,2019-07-30T04:14:56.000Z
559,559,2019-07-30T04:14:56.000Z,2019-07-30T04:14:56.000Z
559,554,2019-07-30T04:14:56.000Z,2019-07-30T04:15:34.000Z
554,554,2019-07-30T04:15:34.000Z,2019-07-30T04:15:34.000Z
554,1018,2019-07-30T04:15:34.000Z,2019-07-30T04:16:00.000Z
1018,1018,2019-07-30T04:16:00.000Z,2019-07-30T04:16:00.000Z
1018,19,2019-07-30T04:16:00.000Z,2019-07-30T04:16:31.000Z
19,19,2019-07-30T04:16:31.000Z,2019-07-30T04:16:31.000Z
19,555,2019-07-30T04:16:31.000Z,2019-07-30T04:17:58.000Z
555,555,2019-07-30T04:17:58.000Z,2019-07-30T04:17:58.000Z
555,20,2019-07-30T04:17:58.000Z,2019-07-30T04:19:00.000Z
20,20,2019-07-30T04:19:00.000Z,2019-07-30T04:19:00.000Z
